rank,Youtuber,subscribers,video views,video count,category,started
385,Lele Pons,17800000.00,4958584356.00,154.00,Comedy,2015
386,Lil Pump,17800000.00,4091109829.00,59.00,Music,2015
387,Naisa Alifia Yuriza (N.A.Y),17800000.00,2521515641.00,1462.00,People & Blogs,2017
388,SCTV,17700000.00,8588329369.00,50080.00,Entertainment,2011
389,Good Mythical Morning,17700000.00,8074270215.00,2980.00,Entertainment,2008
390,TheGrefg,17700000.00,6077820746.00,3332.00,Gaming,2012
391,Ali-A,17700000.00,5766028299.00,3920.00,Gaming,2006
392,Marmok,17700000.00,3131925799.00,344.00,Gaming,2008
393,Mother Goose Club Playhouse,17600000.00,15500399390.00,1282.00,Shows,2009
394,RsiamMusic : อาร์สยาม,17600000.00,10952154122.00,2663.00,Music,2011
395,Little Angel Español - Canciones Infantiles,17600000.00,8525569510.00,580.00,Education,2018
396,Познаватель,17600000.00,8522826642.00,476.00,Entertainment,2014
397,JFlaMusic,17600000.00,3657526529.00,282.00,Music,2011
398,Village Cooking Channel,17600000.00,4477436881.00,211.00,Howto & Style,2018
399,FactTechz,17500000.00,2112929572.00,578.00,Entertainment,2016
400,Sebastián Yatra,17400000.00,9316925082.00,196.00,News & Politics,2013
401,officialpsy,17400000.00,9825292199.00,119.00,Music,2010
402,Vlad and Niki IDN,17400000.00,8231518268.00,392.00,,2018
403,Porta dos Fundos,17400000.00,7258838590.00,1960.00,Entertainment,2012
404,Liza Koshy,17400000.00,2595554113.00,189.00,Comedy,2013
405,etvteluguindia,17300000.00,19465295267.00,111360.00,Entertainment,2010
406,Vijay Television,17300000.00,19901616359.00,27059.00,Entertainment,2007
407,TED-Ed,17300000.00,3287834094.00,1948.00,Education,2011
408,Stubborn Facts,17300000.00,827786482.00,217.00,Film & Animation,2016
409,PopularMMOs,17200000.00,14475783059.00,4686.00,Gaming,2012
410,SQUEEZIE,17200000.00,9258609822.00,1471.00,Gaming,2011
411,Masha e o Urso,17200000.00,7131816532.00,856.00,Shows,2016
412,Willyrex,17200000.00,4808457361.00,6686.00,Gaming,2009
413,RobleisIUTU,17200000.00,4680573231.00,1145.00,Entertainment,2013
414,EeOneGuy,17200000.00,3804413513.00,363.00,Entertainment,2013
415,LuisFonsiVEVO,17100000.00,14008585257.00,96.00,Music,2009
416,GRAMMY GOLD OFFICIAL,17100000.00,17974040182.00,5334.00,Music,2014
417,SUPER SLICK SLIME SAM,17100000.00,6078466417.00,741.00,Howto & Style,2018
418,HowToBasic,17100000.00,3561001854.00,563.00,Howto & Style,2011
419,李子柒 Liziqi,17100000.00,2801548472.00,128.00,Howto & Style,2017
420,Gaby and Alex,17000000.00,7942553236.00,351.00,Entertainment,2012
421,شبكة العاب العرب | Arab Games Network,17000000.00,7723277433.00,5515.00,Gaming,2013
422,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,17000000.00,6221383175.00,192.00,Education,2017
423,Rafa & Luiz,17000000.00,6273315738.00,2184.00,Entertainment,2015
424,Khan GS Research Centre,17000000.00,1670639781.00,347.00,Education,2019
425,हिंदी - Genevieve's Playhouse,16900000.00,9195178282.00,96.00,Education,2018
426,الـريماس - Al-Remas,16900000.00,10550888024.00,2047.00,Music,2013
427,Junya.じゅんや,16900000.00,9529205653.00,3150.00,Entertainment,2020
428,Guava Juice,16900000.00,8614218175.00,1754.00,Gaming,2006
429,Doggy Doggy Cartoons,16800000.00,6459285262.00,4723.00,Entertainment,2012
430,IGN,16800000.00,14633922961.00,149770.00,Gaming,2006
431,Jason Derulo,16800000.00,8808599101.00,451.00,Music,2008
432,Maya and Mary,16800000.00,6304251610.00,539.00,Entertainment,2013
433,DUDU e CAROL,16700000.00,6530946230.00,2874.00,Autos & Vehicles,2013
434,Jane ASMR 제인,16700000.00,6443586305.00,1546.00,,2012
435,Anitta,16700000.00,6610175435.00,99.00,Music,2011
436,Werever2morro,16700000.00,2714071108.00,972.00,Entertainment,2007
437,Triggered Insaan,16700000.00,2657491028.00,265.00,Comedy,2014
438,7clouds,16600000.00,11637964945.00,1940.00,Music,2013
439,Tu COSMOPOLIS,16600000.00,4875900353.00,6796.00,People & Blogs,2014
440,DeToxoMoroxo,16600000.00,2212149791.00,488.00,Entertainment,2012
441,Sourav Joshi Vlogs,16500000.00,5970849535.00,1039.00,People & Blogs,2019
442,TheBrianMaps,16500000.00,4090289417.00,476.00,Comedy,2012
443,Manual do Mundo,16500000.00,3367572384.00,2117.00,Howto & Style,2006
444,SonyMusicSouthVEVO,16400000.00,15090557603.00,4304.00,Music,2014
445,zbing z.,16400000.00,8307904773.00,2763.00,Gaming,2014
446,Dhar Mann,16400000.00,8642459264.00,649.00,People & Blogs,2018
447,IDEAS EN 5 MINUTOS,16400000.00,3509049258.00,4658.00,Howto & Style,2017
448,W2S,16300000.00,4739609055.00,653.00,Gaming,2012
449,Shemaroo Comedy,16300000.00,4923411314.00,3467.00,Entertainment,2007
450,ExtraPolinesios,16300000.00,4696367446.00,480.00,People & Blogs,2012
451,Goldmines Great Indian Comedy,16300000.00,4238595667.00,2008.00,Film & Animation,2016
452,Prajapati News,16300000.00,907965523.00,1081.00,Comedy,2013
453,SOMOY TV,16200000.00,9476895180.00,124072.00,News & Politics,2015
454,Sony AATH,16200000.00,10718891416.00,14759.00,Shows,2013
455,Miley Cyrus,16200000.00,6235405830.00,124.00,Entertainment,2009
456,Sandra Cires Art,16200000.00,3702173328.00,953.00,Howto & Style,2011
457,tanboy kun,16200000.00,3020272233.00,582.00,People & Blogs,2016
458,Sidhu Moose Wala,16200000.00,4078330367.00,111.00,Music,2017
459,Blippi - Educational Videos for Kids,16100000.00,12991967769.00,453.00,Education,2014
460,Queen Official,16100000.00,9723539941.00,908.00,Music,2008
461,Travis Scott,16100000.00,7187033169.00,13.00,Music,2013
462,Les' Copaque Production,16100000.00,7954662776.00,1427.00,Film & Animation,2009
463,Zuni and Family,16100000.00,5830669187.00,176.00,People & Blogs,2017
464,Sidemen,16100000.00,4196033350.00,264.00,Entertainment,2015
465,The Game Theorists,16100000.00,3546490692.00,659.00,Gaming,2009
466,Antrax,16100000.00,2949891202.00,654.00,Gaming,2015
467,Canal IN,16100000.00,2573050059.00,723.00,People & Blogs,2017
468,Dushyant kukreja,16000000.00,11095340736.00,571.00,Entertainment,2015
469,TRANS TV Official,16000000.00,8780937851.00,123467.00,Entertainment,2014
470,Little Mix,16000000.00,7047968268.00,278.00,Music,2011
471,RKD Studios,16000000.00,4133234619.00,622.00,Entertainment,2014
472,FailArmy,16000000.00,2041620563.00,337.00,Comedy,2011
473,El Reino a Jugar,15900000.00,10175537321.00,872.00,Education,2015
474,DopeLyrics,15900000.00,9803533121.00,1937.00,Music,2016
475,Boyce Avenue,15900000.00,6230190520.00,438.00,Music,2007
476,Camila Cabello,15900000.00,6086165889.00,61.00,Music,2015
477,VICE,15900000.00,4174962442.00,3694.00,Entertainment,2005
478,Kaykai Salaider,15900000.00,4248704474.00,399.00,Comedy,2011
479,Fede Vigevani,15900000.00,4745414554.00,865.00,Howto & Style,2009
480,Marques Brownlee,15900000.00,3082486680.00,1454.00,Science & Technology,2008
481,jeffreestar,15900000.00,2575183135.00,428.00,Howto & Style,2006
482,Apple,15900000.00,808136104.00,205.00,Science & Technology,2005
483,Kids Play,15800000.00,7713981883.00,545.00,Entertainment,2018
484,Aayu and Pihu Show,15800000.00,7837311552.00,352.00,Comedy,2017
485,JJ Olatunji,15800000.00,3631494389.00,1183.00,Gaming,2011
486,Katie Angel,15800000.00,3007947714.00,732.00,People & Blogs,2015
487,MissaSinfonia,15800000.00,1918777559.00,232.00,Comedy,2011
488,AMARINTV : อมรินทร์ทีวี,15700000.00,11194074075.00,97231.00,Entertainment,2014
489,Rotten Tomatoes Trailers,15700000.00,12811981848.00,9582.00,Film & Animation,2011
490,Pitbull,15700000.00,11458130113.00,302.00,Music,2006
491,Enes Batur,15700000.00,9410061135.00,1979.00,Gaming,2012
492,Jennifer Lopez,15700000.00,9512025119.00,224.00,Music,2005
493,Jason Vlogs,15700000.00,7137778517.00,666.00,Education,2015
494,Alejo Igoa,15700000.00,5276127016.00,699.00,Comedy,2014
495,Matt Stonie,15700000.00,3249162653.00,401.00,Entertainment,2012
496,Caeli YT,15700000.00,1509244860.00,545.00,Entertainment,2010
497,Pop Chartbusters,15600000.00,7817983360.00,2154.00,Music,2011
498,Tilak,15600000.00,6132515137.00,3614.00,Film & Animation,2020
499,AdMe,15600000.00,4012749893.00,5356.00,Entertainment,2015
500,FunFun Toy Doll TV,15500000.00,6948469648.00,706.00,Entertainment,2016
